Dates,Long,Short,LongShort
1997-05-30,0.07147582489999998,-0.08455105360000001,-0.006537614350000012
1997-06-27,0.10728720060000001,-0.024447832800000003,0.041419683900000004
1997-07-31,0.1348400813,-0.0028236237000000023,0.0660082288
1997-08-29,0.08467994790000001,0.0564973382,0.07058864305000001
1997-09-26,0.1405196317,-0.021745571300000002,0.0593870302
1997-10-31,0.0039834028999999995,0.019696528999999994,0.011839965949999996
1997-11-28,-0.020906586799999998,-0.017067435300000006,-0.018987011050000002
1997-12-26,0.0899062323,0.034558628499999994,0.0622324304
1998-02-27,0.09410551350000002,-0.049060757999999996,0.02252237775000001
1998-02-27,0.055379780499999996,-0.025165520700000006,0.015107129899999995
1998-03-27,0.08668302700000001,-0.0005518891999999969,0.043065568900000004
1998-04-30,0.0265199249,-0.0037471292999999998,0.0113863978
